title,salaries,company_names,addresses,requirements 
Фронтенд разработчик,от 5 000 USD,ООО Научно-Инженерный Центр Технологии,Краснодар,"Навыки. Уверенные знания HTML, CSS, JS ES6+. Опыт работы на стеке React (hooks)+ Redux, Typescript. Typescript/Javascript. Vue.js (Version 3). Vuex/VuexOrm. HTML5/CSS3. Sass. Webpack. Jest. Отличные знания и опыт с большинством...Опыт работы с нативным JavaScript от 3х лет. Отличное знание HTML и CSS, кроссбраузерная и адаптивная верстка. Продвинутое знание и владение технологиями: Angular 13+, HTML, CSS. OpenApi Generator, Swagger. Figma. Git, GitLab CI/CD (поможем). Знание Angular 14. Kotlin+Spring+Hibernate+Postgres+Angular+Nginx.У тебя есть опыт от 3 лет в роле разработчика FrontEnd на Vue и ты не прочь покодить на старте...Знание Angular 14. Kotlin+Spring+Hibernate+Postgres+Angular+Nginx.Знание JavaScript / TypeScript. Опыт использования Angular 6 и выше (реализация собственных компонентов, сервисов, организация кода в виде библиотек, динамическая подгрузка...Знание Angular 14. Kotlin+Spring+Hibernate+Postgres+Angular+Nginx.Опыт работы fronted-разработчиком от 3-х лет. Опыт разработки приложений с использованием Angular, TypeScript от 1-года. Знание JS(ES6)/TS. Опыт боевой разработки на Angular/Vue от 3-х лет. Знание библиотек визуальных компонентов. JavaScript – глубокое понимание как устроен и работает язык (типы данных, асинхронность и пр.). Глубокое знание принципов работы HTML и CSS...Что надо знать: - Vue.js, знакомство с одним из фреймворков (Quasar, Vuetify, ...). - JavaScript / TypeScript, HTML, CSS, JSON. - Будет плюсом Vue 3...Знание Typescript и ES5-ES9. Опыт работы с Vue или Svelte. Владение HTML5 и CSS3. 2) Готовность к работе с разными технологиями и задачами. Требования Frontend. 1) Знание базового JavaScript. 2) Знание базового HTML. Имеете от года коммерческого опыта во frontend-разработке. Дружите с HTML, CSS, SCSS и умеете чисто и семантически верстать. Опыт коммерческой разработки. Желание работать в команде над общим проектом и развиваться как профессионал. Работа в офисе, удаленное сотрудничество не...Хорошее знание JavaScript (ES5-ES6), TypeScript. Опыт коммерческой разработки на JS, TS от 1 года. Опыт работы с...Опыт разработки веб-приложений с применением веб-фрэймфорка Vue от 1 года. Приветствуются навыки: Опыт работы с СУБД (PostgreSQL, Oracle). "
Программист-разработчик,от 5 000 USD,ООО Технические Системы,Уфа,Not provided
Frontend developer,Not provided,SFXDX,Новосибирск,"Навыки. Уверенные знания HTML, CSS, JS ES6+. Опыт работы на стеке React (hooks)+ Redux, Typescript. Typescript/Javascript. Vue.js (Version 3). Vuex/VuexOrm. HTML5/CSS3. Sass. Webpack. Jest. Отличные знания и опыт с большинством...Опыт работы с нативным JavaScript от 3х лет. Отличное знание HTML и CSS, кроссбраузерная и адаптивная верстка. Продвинутое знание и владение технологиями: Angular 13+, HTML, CSS. OpenApi Generator, Swagger. Figma. Git, GitLab CI/CD (поможем). Знание Angular 14. Kotlin+Spring+Hibernate+Postgres+Angular+Nginx.У тебя есть опыт от 3 лет в роле разработчика FrontEnd на Vue и ты не прочь покодить на старте...Знание Angular 14. Kotlin+Spring+Hibernate+Postgres+Angular+Nginx.Знание JavaScript / TypeScript. Опыт использования Angular 6 и выше (реализация собственных компонентов, сервисов, организация кода в виде библиотек, динамическая подгрузка...Знание Angular 14. Kotlin+Spring+Hibernate+Postgres+Angular+Nginx.Опыт работы fronted-разработчиком от 3-х лет. Опыт разработки приложений с использованием Angular, TypeScript от 1-года. Знание JS(ES6)/TS. Опыт боевой разработки на Angular/Vue от 3-х лет. Знание библиотек визуальных компонентов. JavaScript – глубокое понимание как устроен и работает язык (типы данных, асинхронность и пр.). Глубокое знание принципов работы HTML и CSS...Что надо знать: - Vue.js, знакомство с одним из фреймворков (Quasar, Vuetify, ...). - JavaScript / TypeScript, HTML, CSS, JSON. - Будет плюсом Vue 3...Знание Typescript и ES5-ES9. Опыт работы с Vue или Svelte. Владение HTML5 и CSS3. 2) Готовность к работе с разными технологиями и задачами. Требования Frontend. 1) Знание базового JavaScript. 2) Знание базового HTML. Имеете от года коммерческого опыта во frontend-разработке. Дружите с HTML, CSS, SCSS и умеете чисто и семантически верстать. Опыт коммерческой разработки. Желание работать в команде над общим проектом и развиваться как профессионал. Работа в офисе, удаленное сотрудничество не...Хорошее знание JavaScript (ES5-ES6), TypeScript. Опыт коммерческой разработки на JS, TS от 1 года. Опыт работы с...Опыт разработки веб-приложений с применением веб-фрэймфорка Vue от 1 года. Приветствуются навыки: Опыт работы с СУБД (PostgreSQL, Oracle). "
Frontend (Middle) разработчик,от 5 000 USD,Сибирский межрегиональный учебный центр,Красноярск,Not provided
Frontend разработчик,Not provided,Межрегиональный ТранзитТелеком (АО МТТ),Москва,"Навыки. Уверенные знания HTML, CSS, JS ES6+. Опыт работы на стеке React (hooks)+ Redux, Typescript. Typescript/Javascript. Vue.js (Version 3). Vuex/VuexOrm. HTML5/CSS3. Sass. Webpack. Jest. Отличные знания и опыт с большинством...Опыт работы с нативным JavaScript от 3х лет. Отличное знание HTML и CSS, кроссбраузерная и адаптивная верстка. Продвинутое знание и владение технологиями: Angular 13+, HTML, CSS. OpenApi Generator, Swagger. Figma. Git, GitLab CI/CD (поможем). Знание Angular 14. Kotlin+Spring+Hibernate+Postgres+Angular+Nginx.У тебя есть опыт от 3 лет в роле разработчика FrontEnd на Vue и ты не прочь покодить на старте...Знание Angular 14. Kotlin+Spring+Hibernate+Postgres+Angular+Nginx.Знание JavaScript / TypeScript. Опыт использования Angular 6 и выше (реализация собственных компонентов, сервисов, организация кода в виде библиотек, динамическая подгрузка...Знание Angular 14. Kotlin+Spring+Hibernate+Postgres+Angular+Nginx.Опыт работы fronted-разработчиком от 3-х лет. Опыт разработки приложений с использованием Angular, TypeScript от 1-года. Знание JS(ES6)/TS. Опыт боевой разработки на Angular/Vue от 3-х лет. Знание библиотек визуальных компонентов. JavaScript – глубокое понимание как устроен и работает язык (типы данных, асинхронность и пр.). Глубокое знание принципов работы HTML и CSS...Что надо знать: - Vue.js, знакомство с одним из фреймворков (Quasar, Vuetify, ...). - JavaScript / TypeScript, HTML, CSS, JSON. - Будет плюсом Vue 3...Знание Typescript и ES5-ES9. Опыт работы с Vue или Svelte. Владение HTML5 и CSS3. 2) Готовность к работе с разными технологиями и задачами. Требования Frontend. 1) Знание базового JavaScript. 2) Знание базового HTML. Имеете от года коммерческого опыта во frontend-разработке. Дружите с HTML, CSS, SCSS и умеете чисто и семантически верстать. Опыт коммерческой разработки. Желание работать в команде над общим проектом и развиваться как профессионал. Работа в офисе, удаленное сотрудничество не...Хорошее знание JavaScript (ES5-ES6), TypeScript. Опыт коммерческой разработки на JS, TS от 1 года. Опыт работы с...Опыт разработки веб-приложений с применением веб-фрэймфорка Vue от 1 года. Приветствуются навыки: Опыт работы с СУБД (PostgreSQL, Oracle). "
Frontend-разработчик,от 5 000 USD,HR Агент,Пермь,Not provided
Frontend-разработчик (Middle/Middle+),от 5 000 USD,ООО Информационно-медицинский центр,Самара,"Навыки. Уверенные знания HTML, CSS, JS ES6+. Опыт работы на стеке React (hooks)+ Redux, Typescript. Typescript/Javascript. Vue.js (Version 3). Vuex/VuexOrm. HTML5/CSS3. Sass. Webpack. Jest. Отличные знания и опыт с большинством...Опыт работы с нативным JavaScript от 3х лет. Отличное знание HTML и CSS, кроссбраузерная и адаптивная верстка. Продвинутое знание и владение технологиями: Angular 13+, HTML, CSS. OpenApi Generator, Swagger. Figma. Git, GitLab CI/CD (поможем). Знание Angular 14. Kotlin+Spring+Hibernate+Postgres+Angular+Nginx.У тебя есть опыт от 3 лет в роле разработчика FrontEnd на Vue и ты не прочь покодить на старте...Знание Angular 14. Kotlin+Spring+Hibernate+Postgres+Angular+Nginx.Знание JavaScript / TypeScript. Опыт использования Angular 6 и выше (реализация собственных компонентов, сервисов, организация кода в виде библиотек, динамическая подгрузка...Знание Angular 14. Kotlin+Spring+Hibernate+Postgres+Angular+Nginx.Опыт работы fronted-разработчиком от 3-х лет. Опыт разработки приложений с использованием Angular, TypeScript от 1-года. Знание JS(ES6)/TS. Опыт боевой разработки на Angular/Vue от 3-х лет. Знание библиотек визуальных компонентов. JavaScript – глубокое понимание как устроен и работает язык (типы данных, асинхронность и пр.). Глубокое знание принципов работы HTML и CSS...Что надо знать: - Vue.js, знакомство с одним из фреймворков (Quasar, Vuetify, ...). - JavaScript / TypeScript, HTML, CSS, JSON. - Будет плюсом Vue 3...Знание Typescript и ES5-ES9. Опыт работы с Vue или Svelte. Владение HTML5 и CSS3. 2) Готовность к работе с разными технологиями и задачами. Требования Frontend. 1) Знание базового JavaScript. 2) Знание базового HTML. Имеете от года коммерческого опыта во frontend-разработке. Дружите с HTML, CSS, SCSS и умеете чисто и семантически верстать. Опыт коммерческой разработки. Желание работать в команде над общим проектом и развиваться как профессионал. Работа в офисе, удаленное сотрудничество не...Хорошее знание JavaScript (ES5-ES6), TypeScript. Опыт коммерческой разработки на JS, TS от 1 года. Опыт работы с...Опыт разработки веб-приложений с применением веб-фрэймфорка Vue от 1 года. Приветствуются навыки: Опыт работы с СУБД (PostgreSQL, Oracle). "
Middle Frontend developer (Vue.js/Nuxt),180 000 – 250 000 руб.,4people,Санкт-Петербург,Not provided
Frontend-разработчик,180 000 – 250 000 руб.,ООО Центр Бизнес Решений,Ульяновск,"Общий опыт работы более года, из них минимум год с Vue.js| React. Опыт написания Юнит-тестов с использованием Jest. HTML, CSS, JS, TS. Angular 6 и выше. GIT.Отлично знает JS, TypeScript, ECMAScript 6/7, CSS3, HTML5. Уверенно пишет на Angular 9+ и хорошо понимает...Отличное знание JavaScript. Хорошее знание HTML и CSS. Опыт работы с большими проектами. Профессиональное владение современными JS-фреймворками. Коммерческий опыт работы Frontend разработчиком от 2-х с половиной лет. Опыт работы с React, TypeScript, Redux - обязателен. 2+ лет реализации проектов на стеке React + Effector. Отличное владение инструментами и технологиями верстки.Опыт работы: от 1 года. Как минимум 1 год работает с React-стеком. Уверенное знание React, CSS, SCSS, HTML. ...от 3-х лет, с React от 1,5 лет. Умеешь работать в продуктовой команде. Интересуешься современными тенденциями frontend-разработки.Опыт коммерческой разработки на React.js от 2-х лет. Опыт работы с Typescript. Знание Redux / MobX / MST, Webpack, SCSS/LESS. JavaScript, HTML, CSS, TypeScript, RxJs. Понимание базовых принципов SOLID, паттернов MVC, MVP, MVVM и др. Опыт разработки на одном из...Знание TypeScript, Webpack. Навыки диагностики и устранения неисправности пользовательского интерфейса. Опыт работы с HTML / CSS, JavaScript. Опыт работы в среде...Профильное высшее образование. Релевантный опыт работы от 3 лет. Знание методологии БЭМ и уверенное использование её на практике. Опыт коммерческой разработки от 1,5-2 лет. — Аккуратную, кроссбраузерную, адаптивную верстку с использованием HTML5 и CSS3. — Опыт программирования на языке JS или профильное образование. Базовое представление о web разработке. Способность к самообучению. Знание HTML5 и...JS. PHP (Laravel). CSS. Опыт разработки во Frontend от 2-х лет (уровень middle и выше). Понимание принципов реактивного программирования...Отличные знания JavaScript Core (типы данных, функции, прототипы, наследование, классы, промисы, async/await, обработка ошибок, работа с DOM, события браузера...Прекрасное знание JavaScript (es5/es6/es7: классы, импорты декораторы, arrow-функции, генераторы, промисы). Опыт работы с одним...Уверенные знания JavaScript, HTML 5, CSS 3. Опыт активной работы с VueJS. Умение работать с Git. Знание препроцессоров CSS и...Опыт в веб-разработке на WP от 2х лет. Знание языков: HTML5, JavaScript, CSS, PHP, jQuery, AJAX, JSON. "
Frontend-разработчик Angular,Not provided,Бланк – банк для бизнеса,"Москва, Верхние Котлы и еще 1 ",Not provided
Разработчик интерфейсов/Frontend-разработчик в SberDevices,Not provided,Сбер. IT,"Москва, Кутузовская","Общий опыт работы более года, из них минимум год с Vue.js| React. Опыт написания Юнит-тестов с использованием Jest. HTML, CSS, JS, TS. Angular 6 и выше. GIT.Отлично знает JS, TypeScript, ECMAScript 6/7, CSS3, HTML5. Уверенно пишет на Angular 9+ и хорошо понимает...Отличное знание JavaScript. Хорошее знание HTML и CSS. Опыт работы с большими проектами. Профессиональное владение современными JS-фреймворками. Коммерческий опыт работы Frontend разработчиком от 2-х с половиной лет. Опыт работы с React, TypeScript, Redux - обязателен. 2+ лет реализации проектов на стеке React + Effector. Отличное владение инструментами и технологиями верстки.Опыт работы: от 1 года. Как минимум 1 год работает с React-стеком. Уверенное знание React, CSS, SCSS, HTML. ...от 3-х лет, с React от 1,5 лет. Умеешь работать в продуктовой команде. Интересуешься современными тенденциями frontend-разработки.Опыт коммерческой разработки на React.js от 2-х лет. Опыт работы с Typescript. Знание Redux / MobX / MST, Webpack, SCSS/LESS. JavaScript, HTML, CSS, TypeScript, RxJs. Понимание базовых принципов SOLID, паттернов MVC, MVP, MVVM и др. Опыт разработки на одном из...Знание TypeScript, Webpack. Навыки диагностики и устранения неисправности пользовательского интерфейса. Опыт работы с HTML / CSS, JavaScript. Опыт работы в среде...Профильное высшее образование. Релевантный опыт работы от 3 лет. Знание методологии БЭМ и уверенное использование её на практике. Опыт коммерческой разработки от 1,5-2 лет. — Аккуратную, кроссбраузерную, адаптивную верстку с использованием HTML5 и CSS3. — Опыт программирования на языке JS или профильное образование. Базовое представление о web разработке. Способность к самообучению. Знание HTML5 и...JS. PHP (Laravel). CSS. Опыт разработки во Frontend от 2-х лет (уровень middle и выше). Понимание принципов реактивного программирования...Отличные знания JavaScript Core (типы данных, функции, прототипы, наследование, классы, промисы, async/await, обработка ошибок, работа с DOM, события браузера...Прекрасное знание JavaScript (es5/es6/es7: классы, импорты декораторы, arrow-функции, генераторы, промисы). Опыт работы с одним...Уверенные знания JavaScript, HTML 5, CSS 3. Опыт активной работы с VueJS. Умение работать с Git. Знание препроцессоров CSS и...Опыт в веб-разработке на WP от 2х лет. Знание языков: HTML5, JavaScript, CSS, PHP, jQuery, AJAX, JSON. "
Frontend-разработчик (React),Not provided,Bell Integrator,Санкт-Петербург,Not provided
React Developer,180 000 – 250 000 руб.,Wanted,Санкт-Петербург,"Общий опыт работы более года, из них минимум год с Vue.js| React. Опыт написания Юнит-тестов с использованием Jest. HTML, CSS, JS, TS. Angular 6 и выше. GIT.Отлично знает JS, TypeScript, ECMAScript 6/7, CSS3, HTML5. Уверенно пишет на Angular 9+ и хорошо понимает...Отличное знание JavaScript. Хорошее знание HTML и CSS. Опыт работы с большими проектами. Профессиональное владение современными JS-фреймворками. Коммерческий опыт работы Frontend разработчиком от 2-х с половиной лет. Опыт работы с React, TypeScript, Redux - обязателен. 2+ лет реализации проектов на стеке React + Effector. Отличное владение инструментами и технологиями верстки.Опыт работы: от 1 года. Как минимум 1 год работает с React-стеком. Уверенное знание React, CSS, SCSS, HTML. ...от 3-х лет, с React от 1,5 лет. Умеешь работать в продуктовой команде. Интересуешься современными тенденциями frontend-разработки.Опыт коммерческой разработки на React.js от 2-х лет. Опыт работы с Typescript. Знание Redux / MobX / MST, Webpack, SCSS/LESS. JavaScript, HTML, CSS, TypeScript, RxJs. Понимание базовых принципов SOLID, паттернов MVC, MVP, MVVM и др. Опыт разработки на одном из...Знание TypeScript, Webpack. Навыки диагностики и устранения неисправности пользовательского интерфейса. Опыт работы с HTML / CSS, JavaScript. Опыт работы в среде...Профильное высшее образование. Релевантный опыт работы от 3 лет. Знание методологии БЭМ и уверенное использование её на практике. Опыт коммерческой разработки от 1,5-2 лет. — Аккуратную, кроссбраузерную, адаптивную верстку с использованием HTML5 и CSS3. — Опыт программирования на языке JS или профильное образование. Базовое представление о web разработке. Способность к самообучению. Знание HTML5 и...JS. PHP (Laravel). CSS. Опыт разработки во Frontend от 2-х лет (уровень middle и выше). Понимание принципов реактивного программирования...Отличные знания JavaScript Core (типы данных, функции, прототипы, наследование, классы, промисы, async/await, обработка ошибок, работа с DOM, события браузера...Прекрасное знание JavaScript (es5/es6/es7: классы, импорты декораторы, arrow-функции, генераторы, промисы). Опыт работы с одним...Уверенные знания JavaScript, HTML 5, CSS 3. Опыт активной работы с VueJS. Умение работать с Git. Знание препроцессоров CSS и...Опыт в веб-разработке на WP от 2х лет. Знание языков: HTML5, JavaScript, CSS, PHP, jQuery, AJAX, JSON. "
Frontend-разработчик (React),180 000 – 250 000 руб.,ООО Решение,Калининград,Not provided
Middle / Senior Frontend Web Developer (NuxtJS / VueJS),180 000 – 250 000 руб.,ООО НАШЕ ЗОЛОТО,Самара,"Общий опыт работы более года, из них минимум год с Vue.js| React. Опыт написания Юнит-тестов с использованием Jest. HTML, CSS, JS, TS. Angular 6 и выше. GIT.Отлично знает JS, TypeScript, ECMAScript 6/7, CSS3, HTML5. Уверенно пишет на Angular 9+ и хорошо понимает...Отличное знание JavaScript. Хорошее знание HTML и CSS. Опыт работы с большими проектами. Профессиональное владение современными JS-фреймворками. Коммерческий опыт работы Frontend разработчиком от 2-х с половиной лет. Опыт работы с React, TypeScript, Redux - обязателен. 2+ лет реализации проектов на стеке React + Effector. Отличное владение инструментами и технологиями верстки.Опыт работы: от 1 года. Как минимум 1 год работает с React-стеком. Уверенное знание React, CSS, SCSS, HTML. ...от 3-х лет, с React от 1,5 лет. Умеешь работать в продуктовой команде. Интересуешься современными тенденциями frontend-разработки.Опыт коммерческой разработки на React.js от 2-х лет. Опыт работы с Typescript. Знание Redux / MobX / MST, Webpack, SCSS/LESS. JavaScript, HTML, CSS, TypeScript, RxJs. Понимание базовых принципов SOLID, паттернов MVC, MVP, MVVM и др. Опыт разработки на одном из...Знание TypeScript, Webpack. Навыки диагностики и устранения неисправности пользовательского интерфейса. Опыт работы с HTML / CSS, JavaScript. Опыт работы в среде...Профильное высшее образование. Релевантный опыт работы от 3 лет. Знание методологии БЭМ и уверенное использование её на практике. Опыт коммерческой разработки от 1,5-2 лет. — Аккуратную, кроссбраузерную, адаптивную верстку с использованием HTML5 и CSS3. — Опыт программирования на языке JS или профильное образование. Базовое представление о web разработке. Способность к самообучению. Знание HTML5 и...JS. PHP (Laravel). CSS. Опыт разработки во Frontend от 2-х лет (уровень middle и выше). Понимание принципов реактивного программирования...Отличные знания JavaScript Core (типы данных, функции, прототипы, наследование, классы, промисы, async/await, обработка ошибок, работа с DOM, события браузера...Прекрасное знание JavaScript (es5/es6/es7: классы, импорты декораторы, arrow-функции, генераторы, промисы). Опыт работы с одним...Уверенные знания JavaScript, HTML 5, CSS 3. Опыт активной работы с VueJS. Умение работать с Git. Знание препроцессоров CSS и...Опыт в веб-разработке на WP от 2х лет. Знание языков: HTML5, JavaScript, CSS, PHP, jQuery, AJAX, JSON. "
Senior frontend разработчик (React),Not provided,ООО Вебинар Технологии,"Москва, ВДНХ",Not provided
Frontend разработчик (Middle +),Not provided,DEEPSOUND,Новосибирск,"Общий опыт работы более года, из них минимум год с Vue.js| React. Опыт написания Юнит-тестов с использованием Jest. HTML, CSS, JS, TS. Angular 6 и выше. GIT.Отлично знает JS, TypeScript, ECMAScript 6/7, CSS3, HTML5. Уверенно пишет на Angular 9+ и хорошо понимает...Отличное знание JavaScript. Хорошее знание HTML и CSS. Опыт работы с большими проектами. Профессиональное владение современными JS-фреймворками. Коммерческий опыт работы Frontend разработчиком от 2-х с половиной лет. Опыт работы с React, TypeScript, Redux - обязателен. 2+ лет реализации проектов на стеке React + Effector. Отличное владение инструментами и технологиями верстки.Опыт работы: от 1 года. Как минимум 1 год работает с React-стеком. Уверенное знание React, CSS, SCSS, HTML. ...от 3-х лет, с React от 1,5 лет. Умеешь работать в продуктовой команде. Интересуешься современными тенденциями frontend-разработки.Опыт коммерческой разработки на React.js от 2-х лет. Опыт работы с Typescript. Знание Redux / MobX / MST, Webpack, SCSS/LESS. JavaScript, HTML, CSS, TypeScript, RxJs. Понимание базовых принципов SOLID, паттернов MVC, MVP, MVVM и др. Опыт разработки на одном из...Знание TypeScript, Webpack. Навыки диагностики и устранения неисправности пользовательского интерфейса. Опыт работы с HTML / CSS, JavaScript. Опыт работы в среде...Профильное высшее образование. Релевантный опыт работы от 3 лет. Знание методологии БЭМ и уверенное использование её на практике. Опыт коммерческой разработки от 1,5-2 лет. — Аккуратную, кроссбраузерную, адаптивную верстку с использованием HTML5 и CSS3. — Опыт программирования на языке JS или профильное образование. Базовое представление о web разработке. Способность к самообучению. Знание HTML5 и...JS. PHP (Laravel). CSS. Опыт разработки во Frontend от 2-х лет (уровень middle и выше). Понимание принципов реактивного программирования...Отличные знания JavaScript Core (типы данных, функции, прототипы, наследование, классы, промисы, async/await, обработка ошибок, работа с DOM, события браузера...Прекрасное знание JavaScript (es5/es6/es7: классы, импорты декораторы, arrow-функции, генераторы, промисы). Опыт работы с одним...Уверенные знания JavaScript, HTML 5, CSS 3. Опыт активной работы с VueJS. Умение работать с Git. Знание препроцессоров CSS и...Опыт в веб-разработке на WP от 2х лет. Знание языков: HTML5, JavaScript, CSS, PHP, jQuery, AJAX, JSON. "
Frontend Developer (Angular) Jun+/Middle,Not provided,Эмбедика,Екатеринбург,Not provided
Frontend-разработчик,Not provided,ООО Сибирские Сети,"Новосибирск, Березовая роща","Общий опыт работы более года, из них минимум год с Vue.js| React. Опыт написания Юнит-тестов с использованием Jest. HTML, CSS, JS, TS. Angular 6 и выше. GIT.Отлично знает JS, TypeScript, ECMAScript 6/7, CSS3, HTML5. Уверенно пишет на Angular 9+ и хорошо понимает...Отличное знание JavaScript. Хорошее знание HTML и CSS. Опыт работы с большими проектами. Профессиональное владение современными JS-фреймворками. Коммерческий опыт работы Frontend разработчиком от 2-х с половиной лет. Опыт работы с React, TypeScript, Redux - обязателен. 2+ лет реализации проектов на стеке React + Effector. Отличное владение инструментами и технологиями верстки.Опыт работы: от 1 года. Как минимум 1 год работает с React-стеком. Уверенное знание React, CSS, SCSS, HTML. ...от 3-х лет, с React от 1,5 лет. Умеешь работать в продуктовой команде. Интересуешься современными тенденциями frontend-разработки.Опыт коммерческой разработки на React.js от 2-х лет. Опыт работы с Typescript. Знание Redux / MobX / MST, Webpack, SCSS/LESS. JavaScript, HTML, CSS, TypeScript, RxJs. Понимание базовых принципов SOLID, паттернов MVC, MVP, MVVM и др. Опыт разработки на одном из...Знание TypeScript, Webpack. Навыки диагностики и устранения неисправности пользовательского интерфейса. Опыт работы с HTML / CSS, JavaScript. Опыт работы в среде...Профильное высшее образование. Релевантный опыт работы от 3 лет. Знание методологии БЭМ и уверенное использование её на практике. Опыт коммерческой разработки от 1,5-2 лет. — Аккуратную, кроссбраузерную, адаптивную верстку с использованием HTML5 и CSS3. — Опыт программирования на языке JS или профильное образование. Базовое представление о web разработке. Способность к самообучению. Знание HTML5 и...JS. PHP (Laravel). CSS. Опыт разработки во Frontend от 2-х лет (уровень middle и выше). Понимание принципов реактивного программирования...Отличные знания JavaScript Core (типы данных, функции, прототипы, наследование, классы, промисы, async/await, обработка ошибок, работа с DOM, события браузера...Прекрасное знание JavaScript (es5/es6/es7: классы, импорты декораторы, arrow-функции, генераторы, промисы). Опыт работы с одним...Уверенные знания JavaScript, HTML 5, CSS 3. Опыт активной работы с VueJS. Умение работать с Git. Знание препроцессоров CSS и...Опыт в веб-разработке на WP от 2х лет. Знание языков: HTML5, JavaScript, CSS, PHP, jQuery, AJAX, JSON. "
Frontend-разработчик (REACT),Not provided,Акционерное общество Специализированный застройщик Рублево-Архангельское,Москва,Not provided
Middle Frontend-разработчик (vue),Not provided,Космос-Веб,"Новосибирск, Маршала Покрышкина","Общий опыт работы более года, из них минимум год с Vue.js| React. Опыт написания Юнит-тестов с использованием Jest. HTML, CSS, JS, TS. Angular 6 и выше. GIT.Отлично знает JS, TypeScript, ECMAScript 6/7, CSS3, HTML5. Уверенно пишет на Angular 9+ и хорошо понимает...Отличное знание JavaScript. Хорошее знание HTML и CSS. Опыт работы с большими проектами. Профессиональное владение современными JS-фреймворками. Коммерческий опыт работы Frontend разработчиком от 2-х с половиной лет. Опыт работы с React, TypeScript, Redux - обязателен. 2+ лет реализации проектов на стеке React + Effector. Отличное владение инструментами и технологиями верстки.Опыт работы: от 1 года. Как минимум 1 год работает с React-стеком. Уверенное знание React, CSS, SCSS, HTML. ...от 3-х лет, с React от 1,5 лет. Умеешь работать в продуктовой команде. Интересуешься современными тенденциями frontend-разработки.Опыт коммерческой разработки на React.js от 2-х лет. Опыт работы с Typescript. Знание Redux / MobX / MST, Webpack, SCSS/LESS. JavaScript, HTML, CSS, TypeScript, RxJs. Понимание базовых принципов SOLID, паттернов MVC, MVP, MVVM и др. Опыт разработки на одном из...Знание TypeScript, Webpack. Навыки диагностики и устранения неисправности пользовательского интерфейса. Опыт работы с HTML / CSS, JavaScript. Опыт работы в среде...Профильное высшее образование. Релевантный опыт работы от 3 лет. Знание методологии БЭМ и уверенное использование её на практике. Опыт коммерческой разработки от 1,5-2 лет. — Аккуратную, кроссбраузерную, адаптивную верстку с использованием HTML5 и CSS3. — Опыт программирования на языке JS или профильное образование. Базовое представление о web разработке. Способность к самообучению. Знание HTML5 и...JS. PHP (Laravel). CSS. Опыт разработки во Frontend от 2-х лет (уровень middle и выше). Понимание принципов реактивного программирования...Отличные знания JavaScript Core (типы данных, функции, прототипы, наследование, классы, промисы, async/await, обработка ошибок, работа с DOM, события браузера...Прекрасное знание JavaScript (es5/es6/es7: классы, импорты декораторы, arrow-функции, генераторы, промисы). Опыт работы с одним...Уверенные знания JavaScript, HTML 5, CSS 3. Опыт активной работы с VueJS. Умение работать с Git. Знание препроцессоров CSS и...Опыт в веб-разработке на WP от 2х лет. Знание языков: HTML5, JavaScript, CSS, PHP, jQuery, AJAX, JSON. "
Frontend developer (Angular),Not provided,АО К-ТЕХНОЛОГИИ,Пермь,Not provided
Middle Frontend Developer (Angular),180 000 – 250 000 руб.,ИТЦ Аусферр,Магнитогорск,Not provided
Frontend-разработчик,Not provided,Сбер. IT,Москва,Not provided
